states,"Population estimates, July 1, 2019,  (V2019)",Persons under 18 years (%),Persons 65 years and over (%),White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Hispanic or Latino (%),"White, not Hispanic or Latino (%)",Foreign born persons (%),Housing units,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Households,Persons per household,Households with a computer (%),Households with Internet (%),High school graduate or higher (%),Bachelor's degree or higher (%),Persons without health insurance (%),In civilian labor force (%),"Total health care revenue, 2012 ($1,000)",Median household income (in 2018 dollars),Per capita income in past 12 months (in 2018 dollars),Persons in poverty (%),"Total annual payroll, 2017 ($1,000)",Real GDP in billion USD (2012),State Tax Rate,Vaccination Rate,Obesity Rate,Number of Smoking Adults,Party Affiliation,Number of Nursing Homes,Diabetes Rate 2018,Diabetes Death 2018,New Cancer Rate ,Cancer Case Count,Hospital_bed_per_1000,Cumulative COVID cases (current),SoDA Score
Alabama,4903185,0.223,0.169,0.691,0.268,0.007,0.015,0.044,0.654,0.035,2274565,0.686,137200,772,1860269,2.55,0.834,0.733,0.858,0.249,0.12,0.571,26039632,48486,26846,0.168,71746399,204.48,0.04,0.812,0.363,0.209,0,227,19.4,1176,457.8,27195,3.1,4888,14.97777778
Alaska,731545,0.249,0.118,0.653,0.038,0.154,0.066,0.072,0.603,0.078,318336,0.64,265200,1231,253462,2.81,0.933,0.843,0.927,0.292,0.143,0.664,6375483,76715,35874,0.109,15007844,54.79,0,0.742,0.342,0.21,0,18,17.7,122,405.8,2882,2.2,319,20.58518519
Arizona,7278717,0.229,0.175,0.828,0.051,0.053,0.037,0.316,0.544,0.134,3035669,0.636,209600,1009,2524300,2.69,0.899,0.818,0.868,0.289,0.127,0.592,37055881,56213,29265,0.14,113490959,324.92,0.056,0.81,0.295,0.156,0,147,22.4,2046,376.3,31443,1.9,4933,25.77037037
Arkansas,3017804,0.233,0.17,0.791,0.157,0.01,0.017,0.077,0.722,0.048,1380504,0.657,123300,729,1152175,2.52,0.841,0.698,0.862,0.226,0.098,0.579,15792628,45726,25635,0.172,42305514,120.54,0.065,0.794,0.35,0.223,0,230,32.3,1194,469.6,17053,3.2,1781,8.474074074
California,39512223,0.227,0.143,0.721,0.065,0.016,0.153,0.393,0.368,0.269,14277157,0.546,475900,1429,12965435,2.96,0.917,0.847,0.829,0.333,0.083,0.631,248953592,71228,35021,0.128,955043843,2813.7,0.0725,0.809,0.251,0.113,1,1195,21.4,9506,385.6,164887,1.8,31431,37.36296296
Colorado,5758736,0.222,0.142,0.871,0.046,0.016,0.035,0.217,0.679,0.098,2424051,0.649,313600,1196,2113387,2.56,0.928,0.857,0.914,0.401,0.086,0.676,29488161,68811,36415,0.096,126786000,356.56,0.029,0.773,0.226,0.146,1,229,16.1,974,388.8,23244,1.9,9730,29.93333333
Connecticut,3565287,0.206,0.172,0.8,0.12,0.006,0.049,0.165,0.665,0.143,1521117,0.663,272700,1156,1367374,2.54,0.896,0.838,0.905,0.389,0.062,0.662,29573119,76106,43056,0.104,95781512,250.05,0.0635,0.855,0.269,0.127,1,217,14.6,708,465.5,21117,2,17962,25.56296296
Delaware,973764,0.211,0.187,0.695,0.23,0.007,0.041,0.095,0.619,0.092,438693,0.711,244700,1110,357765,2.58,0.899,0.824,0.898,0.314,0.068,0.623,7003251,65627,33989,0.125,21975836,63.62,0,0.872,0.318,0.17,1,46,18.8,238,487.2,6001,2.2,2538,25.21481481
District of Columbia,705749,0.181,0.121,0.456,0.464,0.006,0.044,0.113,0.371,0.14,319531,0.418,568400,1487,281322,2.29,0.898,0.8,0.906,0.576,0.035,0.695,8963981,82604,53321,0.162,40999824,126.78,0.06,0.834,0.23,0.143,1,18,23.4,478,378.3,2566,4.4,2793,52.14074074
Florida,21477737,0.199,0.205,0.773,0.169,0.005,0.03,0.261,0.535,0.205,9547305,0.65,196800,1128,7621760,2.65,0.898,0.808,0.88,0.292,0.16,0.583,124061425,53267,30197,0.136,378219262,959.43,0.06,0.852,0.284,0.161,0,695,19.8,6204,419.3,119408,2.6,26314,35.77037037
Georgia,10617423,0.238,0.139,0.605,0.324,0.005,0.043,0.098,0.524,0.101,4326105,0.631,166800,968,3709488,2.71,0.886,0.79,0.867,0.307,0.157,0.624,51800643,55679,29523,0.143,191941305,543.79,0.04,0.788,0.316,0.175,0,360,22.1,2471,468.8,52056,2.4,18301,23.9037037
Hawaii,1415872,0.214,0.184,0.256,0.022,0.004,0.376,0.107,0.218,0.183,546213,0.583,587700,1566,456782,3.02,0.9,0.833,0.918,0.325,0.049,0.618,8136947,78084,34035,0.088,24366355,83.94,0.04,0.792,0.238,0.128,1,45,16.1,316,414.2,7395,1.9,580,44.48888889
Idaho,1787065,0.255,0.159,0.93,0.009,0.017,0.016,0.127,0.817,0.06,735672,0.693,192300,825,618331,2.68,0.902,0.797,0.906,0.269,0.132,0.621,7895614,53089,26772,0.118,23564597,73.16,0.06,0.812,0.293,0.143,0,81,20.3,408,439.2,8354,1.9,1668,8.851851852
Illinois,12671821,0.224,0.156,0.769,0.146,0.006,0.059,0.174,0.61,0.14,5376064,0.66,187200,984,4830038,2.59,0.883,0.806,0.889,0.341,0.081,0.651,83431778,63575,34463,0.121,301443641,786.7,0.0625,0.83,0.311,0.155,1,728,18.6,2878,462.8,68954,2.5,30357,30.37037037
Indiana,6732219,0.234,0.158,0.851,0.098,0.004,0.025,0.071,0.789,0.052,2903554,0.689,135400,807,2553818,2.53,0.872,0.776,0.886,0.259,0.097,0.638,42493117,54325,28461,0.131,122892875,333.89,0.07,0.786,0.336,0.218,0,545,26,2093,443,34260,2.7,11211,14.51111111
Iowa,3155070,0.232,0.171,0.907,0.04,0.005,0.027,0.062,0.853,0.052,1409650,0.711,142300,766,1256855,2.41,0.876,0.788,0.92,0.282,0.056,0.674,18583828,58580,31085,0.112,58926050,174.48,0.06,0.835,0.364,0.171,0,439,21.9,898,473.6,18146,3,2902,7.688888889
Kansas,2913314,0.242,0.159,0.864,0.061,0.012,0.031,0.121,0.757,0.071,1280774,0.663,145400,831,1124549,2.52,0.884,0.796,0.907,0.329,0.103,0.657,18248370,57422,30757,0.12,52754605,157.2,0.065,0.785,0.324,0.174,0,335,22.6,803,457.3,15312,3.3,1905,7.62962963
Kentucky,4467673,0.226,0.164,0.876,0.084,0.003,0.016,0.038,0.843,0.038,1995182,0.67,135300,741,1728681,2.49,0.843,0.755,0.857,0.236,0.067,0.589,26264745,48392,26948,0.169,67733358,190.64,0.06,0.843,0.343,0.246,0,285,27.9,1506,509.7,27137,3.2,2960,11.51851852
Louisiana,4648794,0.235,0.154,0.629,0.327,0.008,0.018,0.052,0.586,0.041,2076028,0.653,157800,850,1736021,2.61,0.835,0.728,0.848,0.237,0.093,0.593,27951792,47942,27027,0.186,75415899,242.08,0.0445,0.79,0.362,0.231,0,276,26.9,1457,473.1,25451,3.3,23928,27.11111111
Maine,1344212,0.187,0.206,0.946,0.016,0.007,0.012,0.017,0.931,0.036,746596,0.722,184500,831,556955,2.33,0.884,0.8,0.923,0.309,0.1,0.629,10297043,55425,31253,0.116,22349651,58.91,0.055,0.883,0.291,0.173,1,94,23.4,478,473.4,8901,2.5,867,25.47407407
Maryland,6045680,0.222,0.154,0.588,0.309,0.006,0.067,0.104,0.505,0.151,2458801,0.668,305500,1357,2192518,2.67,0.913,0.846,0.9,0.396,0.069,0.672,40821901,81868,40517,0.09,126632897,376.94,0.0625,0.819,0.313,0.138,1,226,19.6,1419,440.9,30942,1.9,12847,26.74074074
Massachusetts,6892503,0.198,0.165,0.808,0.089,0.005,0.071,0.123,0.714,0.165,2914929,0.623,366800,1225,2601914,2.53,0.901,0.847,0.904,0.429,0.032,0.671,63583090,77378,41794,0.1,216666284,522.64,0.06,0.926,0.259,0.137,1,389,15.8,1391,404.2,33626,2.3,38077,33.98518519
Michigan,9986857,0.217,0.172,0.793,0.141,0.007,0.034,0.052,0.749,0.067,4614380,0.71,146200,850,3909509,2.49,0.88,0.79,0.905,0.286,0.064,0.613,63018786,54938,30336,0.141,186678533,477.01,0.06,0.81,0.323,0.193,0,444,21.9,2824,436.8,53911,2.5,31424,26.3037037
Minnesota,5639632,0.232,0.159,0.841,0.068,0.014,0.051,0.055,0.795,0.084,2456064,0.716,211800,944,2167801,2.49,0.903,0.829,0.93,0.354,0.051,0.697,40403572,68411,36245,0.096,142129457,341.01,0.06875,0.814,0.284,0.145,1,375,18.8,1308,455.7,29619,2.5,2356,24.1037037
Mississippi,2976149,0.236,0.159,0.591,0.378,0.006,0.011,0.034,0.565,0.023,1332577,0.682,114500,762,1105576,2.62,0.815,0.68,0.839,0.218,0.144,0.57,16630587,43567,23434,0.197,35366718,105,0.07,0.815,0.373,0.222,0,205,30.6,1074,465.8,16265,4,4274,14.27407407
Missouri,6137428,0.225,0.169,0.83,0.118,0.006,0.021,0.043,0.793,0.041,2806371,0.668,151600,809,2396271,2.47,0.873,0.776,0.896,0.286,0.112,0.626,40089316,53560,29537,0.132,116773811,293.15,0.04225,0.755,0.325,0.208,0,526,20.8,1606,446.3,33171,3.1,5743,15.00740741
Montana,1068778,0.216,0.187,0.89,0.006,0.066,0.009,0.04,0.859,0.022,515175,0.677,219600,783,423240,2.39,0.873,0.781,0.932,0.312,0.1,0.631,6469475,52559,29765,0.13,14773193,47.58,0,0.787,0.253,0.172,0,73,19.1,267,456.6,6194,3.3,433,18.23703704
Nebraska,1934408,0.247,0.157,0.883,0.051,0.015,0.027,0.112,0.786,0.07,845042,0.661,147800,805,754063,2.46,0.885,0.81,0.911,0.313,0.097,0.695,12869418,59116,31101,0.11,36415429,115.91,0.0475,0.857,0.328,0.154,0,211,26,596,446.4,9838,3.6,1474,8.903703704
Nevada,3080156,0.227,0.157,0.743,0.101,0.017,0.087,0.29,0.487,0.194,1268633,0.558,242400,1060,1075930,2.68,0.912,0.813,0.863,0.242,0.13,0.634,13928514,57598,29961,0.129,50960493,155.53,0.05,0.804,0.267,0.176,1,62,19.2,674,385,13054,2.1,3728,37.67407407
New Hampshire,1359711,0.19,0.181,0.932,0.017,0.003,0.03,0.039,0.9,0.06,638091,0.71,252800,1077,528078,2.46,0.922,0.862,0.929,0.365,0.069,0.677,9616460,74057,38548,0.076,30634092,78.44,0,0.878,0.281,0.157,1,74,17.3,319,480.9,8442,2.1,1390,23.97037037
