states,"Population estimates, July 1, 2019,  (V2019)",Persons under 18 years (%),Persons 65 years and over (%),Black or African American (%),Asian (%),Hispanic or Latino (%),"White, not Hispanic or Latino (%)",Foreign born persons (%),Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Households with a computer (%),Households with Internet (%),Bachelor's degree or higher (%),Persons without health insurance (%),"Total health care revenue, 2012 ($1,000)",Per capita income in past 12 months (in 2018 dollars),Persons in poverty (%),Real GDP in billion USD (2012),Vaccination Rate,Obesity Rate,Number of Smoking Adults,Party Affiliation,Number of Nursing Homes,Diabetes Rate 2018,Cancer Case Count,Hospital beds per 1000,Cumulative COVID cases (current),SoDA Score
Alabama,4903185,0.223,0.169,0.268,0.015,0.044,0.654,0.035,0.686,137200,772,0.834,0.733,0.249,0.12,26039632,26846,0.168,204.48,0.812,0.363,0.209,0,227,19.4,27195,3.1,4888,14.97777778
Alaska,731545,0.249,0.118,0.038,0.066,0.072,0.603,0.078,0.64,265200,1231,0.933,0.843,0.292,0.143,6375483,35874,0.109,54.79,0.742,0.342,0.21,0,18,17.7,2882,2.2,319,20.58518519
Arizona,7278717,0.229,0.175,0.051,0.037,0.316,0.544,0.134,0.636,209600,1009,0.899,0.818,0.289,0.127,37055881,29265,0.14,324.92,0.81,0.295,0.156,0,147,22.4,31443,1.9,4933,25.77037037
Arkansas,3017804,0.233,0.17,0.157,0.017,0.077,0.722,0.048,0.657,123300,729,0.841,0.698,0.226,0.098,15792628,25635,0.172,120.54,0.794,0.35,0.223,0,230,32.3,17053,3.2,1781,8.474074074
California,39512223,0.227,0.143,0.065,0.153,0.393,0.368,0.269,0.546,475900,1429,0.917,0.847,0.333,0.083,248953592,35021,0.128,2813.7,0.809,0.251,0.113,1,1195,21.4,164887,1.8,31431,37.36296296
Colorado,5758736,0.222,0.142,0.046,0.035,0.217,0.679,0.098,0.649,313600,1196,0.928,0.857,0.401,0.086,29488161,36415,0.096,356.56,0.773,0.226,0.146,1,229,16.1,23244,1.9,9730,29.93333333
Connecticut,3565287,0.206,0.172,0.12,0.049,0.165,0.665,0.143,0.663,272700,1156,0.896,0.838,0.389,0.062,29573119,43056,0.104,250.05,0.855,0.269,0.127,1,217,14.6,21117,2,17962,25.56296296
Delaware,973764,0.211,0.187,0.23,0.041,0.095,0.619,0.092,0.711,244700,1110,0.899,0.824,0.314,0.068,7003251,33989,0.125,63.62,0.872,0.318,0.17,1,46,18.8,6001,2.2,2538,25.21481481
District of Columbia,705749,0.181,0.121,0.464,0.044,0.113,0.371,0.14,0.418,568400,1487,0.898,0.8,0.576,0.035,8963981,53321,0.162,126.78,0.834,0.23,0.143,1,18,23.4,2566,4.4,2793,52.14074074
Florida,21477737,0.199,0.205,0.169,0.03,0.261,0.535,0.205,0.65,196800,1128,0.898,0.808,0.292,0.16,124061425,30197,0.136,959.43,0.852,0.284,0.161,0,695,19.8,119408,2.6,26314,35.77037037
Georgia,10617423,0.238,0.139,0.324,0.043,0.098,0.524,0.101,0.631,166800,968,0.886,0.79,0.307,0.157,51800643,29523,0.143,543.79,0.788,0.316,0.175,0,360,22.1,52056,2.4,18301,23.9037037
Hawaii,1415872,0.214,0.184,0.022,0.376,0.107,0.218,0.183,0.583,587700,1566,0.9,0.833,0.325,0.049,8136947,34035,0.088,83.94,0.792,0.238,0.128,1,45,16.1,7395,1.9,580,44.48888889
Idaho,1787065,0.255,0.159,0.009,0.016,0.127,0.817,0.06,0.693,192300,825,0.902,0.797,0.269,0.132,7895614,26772,0.118,73.16,0.812,0.293,0.143,0,81,20.3,8354,1.9,1668,8.851851852
Illinois,12671821,0.224,0.156,0.146,0.059,0.174,0.61,0.14,0.66,187200,984,0.883,0.806,0.341,0.081,83431778,34463,0.121,786.7,0.83,0.311,0.155,1,728,18.6,68954,2.5,30357,30.37037037
Indiana,6732219,0.234,0.158,0.098,0.025,0.071,0.789,0.052,0.689,135400,807,0.872,0.776,0.259,0.097,42493117,28461,0.131,333.89,0.786,0.336,0.218,0,545,26,34260,2.7,11211,14.51111111
