"Unemployment Rates for States, Seasonally Adjusted",,,,
State,March 2020 Rate,Rank,,
North Dakota,2.2,1,,
Hawaii,2.6,2,,
Idaho,2.6,2,,
New Hampshire,2.6,2,,
South Carolina,2.6,2,,
Massachusetts,2.9,6,,
Kansas,3.1,7,,
Minnesota,3.1,7,,
Oklahoma,3.1,7,,
Indiana,3.2,10,,
Maine,3.2,10,,
Vermont,3.2,10,,
Maryland,3.3,13,,
Oregon,3.3,13,,
South Dakota,3.3,13,,
Virginia,3.3,13,,
Wisconsin,3.4,17,,
Alabama,3.5,18,,
Montana,3.5,18,,
Tennessee,3.5,18,,
Utah,3.6,21,,
Connecticut,3.7,22,,
Iowa,3.7,22,,
Wyoming,3.7,22,,
New Jersey,3.8,25,,
Michigan,4.1,26,,
Georgia,4.2,27,,
Nebraska,4.2,27,,
Florida,4.3,29,,
North Carolina,4.4,30,,
Colorado,4.5,31,,
Missouri,4.5,31,,
New York,4.5,31,,
Illinois,4.6,34,,
Rhode Island,4.6,34,,
Texas,4.7,36,,
Arkansas,4.8,37,,
Delaware,5.1,38,,
Washington,5.1,38,,
California,5.3,40,,
Mississippi,5.3,40,,
Arizona,5.5,42,,
Ohio,5.5,42,,
Alaska,5.6,44,,
Kentucky,5.8,45,,
New Mexico,5.9,46,,
District of Columbia,6,47,,
Pennsylvania,6,47,,
West Virginia,6.1,49,,
Nevada,6.3,50,,
Louisiana,6.9,51,,
,,,,
