,states,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",National Stay At Home Order,State Stay At Home Order,First COVID-19 Case Date,FIPS Code,Mobility Score,Real GDP in billion chained (2012) U.S. dollars,State Tax Rate,Rank,Avg. Local Tax Rate,Combined Rate,Rank.1,Max Local Tax Rate,Vaccination Rate,2020 Pop.,Obesity Rank,Obesity Rate,Number of Smoking Adults,"Number of filings per 100,000 inhabitants",Party Affiliation,Number of Nursing Homes,Total Deficiencies,Total Serious Deficiencies,Serious Deficiencies Per Home,Sum of Fines,Number of Fines,Average Fine,Number of Payment Suspensions,Diabetes Rate 2018,Diabetes Death 2018,New Cancer Rate,Case Count,Hospital_bed_per_1000,cumulative_cases
24,Mississippi,2976149,2986530,2968130,2968118,0.003,0.006,2967297,0.062,0.236,0.159,0.515,0.591,0.378,0.006,0.011,0.001,0.013,0.034,0.565,168996,0.023,1332577,0.682,114500,1134,357,762,6883,1105576,2.62,0.866,0.039,0.815,0.68,0.839,0.218,0.118,0.144,0.57,0.534,6999175,16630587,66441608,28302952,37053190,12413,24.6,43567,23434,0.197,59294,939485,35366718,Z,219596,235454,125079,89159,74824,155094,26789,198566,63.2,46923.27,1.58432E+18,1.58587E+18,1.58397E+18,"""28""",-14.27407407,105,0.07,2,0.0007,0.0707,22,0.01,0.815,2989260,2,0.373,0.222,274.19,0,205,2413,104,0.51,969619,51,19012,3,30.6,1074,465.8,16265,4,4274
31,New Mexico,2096829,2095428,2059199,2059180,0.018,0.018,2059179,0.059,0.23,0.175,0.505,0.82,0.026,0.109,0.018,0.002,0.026,0.491,0.371,148264,0.096,943208,0.676,166800,1262,350,828,4813,775651,2.64,0.864,0.348,0.838,0.723,0.853,0.271,0.103,0.114,0.574,0.538,4349672,11236630,29102352,10720363,25179274,12073,22.1,48059,26085,0.195,44039,626466,25723101,-0.004,124091,151363,71132,59044,60622,83857,14096,128693,17,121298.15,1.58432E+18,1.58501E+18,1.58388E+18,"""35""",-20.3037037,98,0.05125,32,0.0269,0.0782,15,0.04125,0.857,2096640,35,0.284,0.175,170.25,1,74,2631,98,1.32,2817293,76,37069,48,26.1,685,359.4,9075,1.8,1845
18,Louisiana,4648794,4659978,4533487,4533485,0.025,0.028,4533372,0.066,0.235,0.154,0.512,0.629,0.327,0.008,0.018,0.001,0.017,0.052,0.586,250497,0.041,2076028,0.653,157800,1267,338,850,15835,1736021,2.61,0.87,0.081,0.835,0.728,0.848,0.237,0.11,0.093,0.593,0.555,11697949,27951792,271191050,68012838,61396364,13342,25.5,47942,27027,0.186,106599,1688674,75415899,-0.012,378493,414291,215111,151114,126100,277676,42211,354460,104.9,43203.9,1.58432E+18,1.58492E+18,1.58388E+18,"""22""",-27.11111111,242.08,0.0445,38,0.0507,0.0952,2,0.07,0.79,4645184,6,0.362,0.231,200.19,0,276,3435,68,0.25,1620664,66,24555,21,26.9,1457,473.1,25451,3.3,23928
48,West Virginia,1792147,1805832,1853018,1853001,-0.033,-0.025,1852994,0.053,0.202,0.199,0.505,0.935,0.036,0.003,0.008,Z,0.018,0.017,0.921,134508,0.016,893778,0.729,115000,1023,319,711,2887,734676,2.42,0.884,0.025,0.818,0.729,0.865,0.203,0.141,0.079,0.531,0.489,4036333,12259395,24553072,14295437,22637923,12201,25.8,44921,25479,0.178,36522,549413,22287060,-0.017,88343,114435,63112,39065,5777,104785,12912,94960,77.1,24038.21,1.58432E+18,1.58501E+18,1.58449E+18,"""54""",-18.5037037,72.26,0.065,9,0.0271,0.0921,5,0.04,0.818,1778070,1,0.381,0.26,279.45,0,124,3582,47,0.38,6375009,32,199219,6,36.2,927,472,11698,3.8,890
3,Arkansas,3017804,3013825,2916031,2916028,0.035,0.034,2915918,0.063,0.233,0.17,0.509,0.791,0.157,0.01,0.017,0.004,0.022,0.077,0.722,202572,0.048,1380504,0.657,123300,1071,347,729,10179,1152175,2.52,0.844,0.074,0.841,0.698,0.862,0.226,0.125,0.098,0.579,0.533,4307264,15792628,62712925,31256110,36815256,12483,21.7,45726,25635,0.172,66786,1030593,42305514,0.007,205915,231959,123158,75962,35982,189029,25915,192988,56,52035.48,1.58432E+18,-9.22337E+18,1.58406E+18,"""05""",-8.474074074,120.54,0.065,9,0.0297,0.0947,3,0.05125,0.794,3038999,7,0.35,0.223,347.73,0,230,4641,253,1.1,3459808,159,21759,34,32.3,1194,469.6,17053,3.2,1781
17,Kentucky,4467673,4468402,4339333,4339333,0.03,0.03,4339367,0.062,0.226,0.164,0.507,0.876,0.084,0.003,0.016,0.001,0.02,0.038,0.843,273675,0.038,1995182,0.67,135300,1158,370,741,13826,1728681,2.49,0.845,0.055,0.843,0.755,0.857,0.236,0.131,0.067,0.589,0.547,7500115,26264745,129284438,71745899,54869978,12526,23.3,48392,26948,0.169,91241,1625006,67733358,0.014,291230,331546,184154,106011,27258,296155,33208,282704,109.9,39486.34,1.58432E+18,1.58518E+18,1.58345E+18,"""21""",-11.51851852,190.64,0.06,17,0,0.06,38,0,0.843,4499692,8,0.343,0.246,337.08,0,285,4471,304,1.07,8136664,129,63074,30,27.9,1506,509.7,27137,3.2,2960
0,Alabama,4903185,4887871,4780125,4780138,0.026,0.023,4779736,0.06,0.223,0.169,0.516,0.691,0.268,0.007,0.015,0.001,0.017,0.044,0.654,335599,0.035,2274565,0.686,137200,1174,358,772,14824,1860269,2.55,0.861,0.052,0.834,0.733,0.858,0.249,0.116,0.12,0.571,0.523,7576462,26039632,124809759,57746565,58564965,12145,24.7,48486,26846,0.168,100419,1690061,71746399,0.01,329993,374153,203604,137630,92219,272651,41943,316984,94.4,50645.33,1.58432E+18,1.58587E+18,1.58406E+18,"""01""",-14.97777778,204.48,0.04,40,0.0522,0.0922,4,0.075,0.812,4908621,5,0.363,0.209,266.62,0,227,2807,99,0.44,2647395,51,51909,12,19.4,1176,457.8,27195,3.1,4888
8,District of Columbia,705749,702455,601767,601766,0.173,0.167,601723,0.065,0.181,0.121,0.526,0.456,0.464,0.006,0.044,0.001,0.028,0.113,0.371,26936,0.14,319531,0.418,568400,2456,672,1487,4615,281322,2.29,0.804,0.174,0.898,0.8,0.906,0.576,0.086,0.035,0.695,0.679,5101602,8963981,309832,2591868,4439933,7022,30.3,82604,53321,0.162,23585,527004,40999824,Z,61347,63408,30237,27064,29983,29521,5070,54217,9856.5,61.05,1.58432E+18,1.58432E+18,1.58432E+18,"""11""",-52.14074074,126.78,0.06,-17,0,0.06,-38,0,0.834,720687,50,0.23,0.143,111.32,1,18,685,5,0.28,592509,7,84644,1,,,378.3,2566,4.4,2793
36,Oklahoma,3956971,3943079,3751582,3751583,0.055,0.051,3751351,0.066,0.243,0.157,0.505,0.742,0.078,0.093,0.023,0.002,0.062,0.109,0.653,273677,0.06,1743069,0.656,130900,1214,395,793,10502,1474620,2.58,0.829,0.103,0.867,0.758,0.878,0.252,0.115,0.167,0.607,0.556,7121153,22795438,74295394,71892946,50256231,13174,21.7,51424,27432,0.156,93674,1360720,59669532,Z,287984,327229,174395,105168,64875,249027,36273,273491,54.7,68594.92,1.58432E+18,1.5857E+18,1.58354E+18,"""40""",-13.38518519,202.34,0.045,36,0.0444,0.0894,7,0.07,0.776,3954821,3,0.365,0.201,209.44,0,298,6925,126,0.42,3907918,174,22459,86,29,1340,447.9,20167,2.8,2567
40,South Carolina,5148714,5084127,4625366,4625381,0.113,0.099,4625364,0.058,0.218,0.177,0.515,0.685,0.271,0.005,0.018,0.001,0.019,0.058,0.637,366862,0.049,2318271,0.689,154800,1227,371,868,35487,1894711,2.54,0.853,0.07,0.862,0.753,0.871,0.274,0.104,0.127,0.597,0.56,9763818,22941292,99160840,45520900,58093824,12298,24.6,51015,27986,0.153,109238,1866451,76707295,0.087,351453,367726,202446,131856,83233,276269,47987,303137,153.9,30060.7,1.58432E+18,1.58622E+18,1.58354E+18,"""45""",-19.9037037,215.21,0.06,17,0.0146,0.0746,17,0.03,0.794,5210095,10,0.341,0.188,107,0,189,3767,95,0.5,5035588,113,44562,19,24.8,1580,440.9,27313,2.4,4377
42,Tennessee,6829174,6770010,6346276,6346286,0.076,0.067,6346105,0.06,0.222,0.164,0.512,0.785,0.171,0.005,0.019,0.001,0.02,0.056,0.737,435040,0.05,2992279,0.663,158600,1224,381,841,37169,2567061,2.53,0.852,0.071,0.852,0.754,0.87,0.266,0.111,0.12,0.609,0.563,12499013,42383683,139960482,111718421,91641605,14194,25,50972,28511,0.153,137918,2650007,120113689,0.022,524081,550453,302249,195694,105234,434025,59379,469392,153.9,41234.9,1.58432E+18,1.58579E+18,1.58337E+18,"""47""",-17.17777778,333.31,0.07,2,0.0253,0.0953,1,0.0275,0.867,6897576,15,0.328,0.226,230.39,0,317,4107,214,0.68,10045850,115,87355,31,24.5,2023,455.7,36598,2.9,7070
43,Texas,28995881,28701845,25146091,25146114,0.153,0.141,25145561,0.071,0.258,0.126,0.503,0.788,0.128,0.01,0.052,0.001,0.02,0.396,0.415,1474232,0.17,11100779,0.619,161700,1549,500,998,192878,9553046,2.86,0.841,0.355,0.892,0.793,0.832,0.293,0.079,0.2,0.642,0.577,54480811,145035130,702603073,691242607,356116376,13666,26.4,59570,30143,0.149,592677,10580160,544772560,0.014,2399267,2356748,1251696,866678,1070392,1224845,213590,2057218,96.3,261231.71,1.58432E+18,1.58579E+18,1.58337E+18,"""48""",-29.07407407,1812.11,0.0625,13,0.0194,0.0819,13,0.02,0.799,29472295,14,0.33,0.157,304.07,0,1225,26844,1098,0.9,23343469,621,37590,239,21.1,5991,391.8,109083,2.3,19260
10,Georgia,10617423,10519475,9688729,9688709,0.096,0.086,9687653,0.062,0.238,0.139,0.514,0.605,0.324,0.005,0.043,0.001,0.022,0.098,0.524,636725,0.101,4326105,0.631,166800,1383,418,968,59315,3709488,2.71,0.846,0.139,0.886,0.79,0.867,0.307,0.087,0.157,0.624,0.582,18976611,51800643,155836792,143645290,119801495,12077,28.4,55679,29523,0.143,233500,3888928,191941305,0.022,915043,929864,480578,376506,371588,538893,96787,800585,168.4,57513.49,1.58432E+18,1.58587E+18,1.58319E+18,"""13""",-23.9037037,543.79,0.04,40,0.0331,0.0731,19,0.05,0.788,10736059,24,0.316,0.175,412.44,0,360,3930,207,0.58,8570616,126,68020,32,22.1,2471,468.8,52056,2.4,18301
22,Michigan,9986857,9995915,9884116,9884117,0.01,0.011,9883640,0.057,0.217,0.172,0.508,0.793,0.141,0.007,0.034,Z,0.025,0.052,0.749,564783,0.067,4614380,0.71,146200,1279,484,850,19580,3909509,2.49,0.858,0.096,0.88,0.79,0.905,0.286,0.103,0.064,0.613,0.57,17962356,63018786,238892383,115704903,119302046,12071,24.5,54938,30336,0.141,222553,3859949,186678533,0.014,715824,834087,446128,306986,158946,657237,71861,733517,174.8,56538.9,1.58432E+18,1.58501E+18,1.58388E+18,"""26""",-26.3037037,477.01,0.06,17,0,0.06,38,0,0.81,10045029,19,0.323,0.193,299.14,0,444,15525,208,0.47,13548016,510,26564,124,21.9,2824,436.8,53911,2.5,31424
